isin,wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,asset_class,instrument,region,exchange
CH0454664001,A2T64E,2BTC,45466400,21Shares Bitcoin ETP,2019-02-26,2169,5.942465753424657,Long-only,Switzerland,USD,False,False,Accumulating,1.49,Physically backed,900,False,,12.46,-0.23,12.46,54.96,63.29,148.39,185.25,1008.47,127.35,146.48,-63.54,80.17,,,49.62,51.66,63.84,2.98,0.81,0.97,-74.34,-26.41,-64.86,-74.34,Cryptocurrencies,ETN,,"gettex, XETRA, London, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
CH1114873776,A3GSS0,ASOL,111487377,21Shares Solana Staking ETP,2021-06-30,1314,3.6,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,1346,False,,24.55,-8.5,24.55,47.63,39.27,150.17,181.97,,96.51,995.11,-94.18,,,,81.79,100.02,,1.83,0.41,,-95.84,-37.85,-92.62,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
DE000A27Z304,A27Z30,BTCE,55503260,Bitwise Physical Bitcoin ETP,2020-06-08,1701,4.66027397260274,Long-only,Germany,USD,False,False,Accumulating,2.0,Physically backed,1320,False,,9.82,-0.37,9.82,54.81,62.77,146.51,175.18,,134.8,141.68,-62.48,74.8,,,50.81,52.64,,2.87,0.76,,-74.04,-26.5,-65.16,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
XS2376095068,A3GU8J,BTIC,114433069,Invesco Physical Bitcoin,2021-11-23,1168,3.2,Long-only,Jersey,USD,False,False,Accumulating,0.39,Physically backed,370,False,,9.89,-0.11,9.89,55.07,64.29,152.85,160.9,,136.61,131.8,-65.95,,,,52.93,61.31,,2.88,0.61,,-72.75,-32.78,-66.48,,Cryptocurrencies,ETN,,"gettex, XETRA, London, SIX Swiss Exchange"
DE000A3GSUD3,A3GSUD,VS0L,113558824,VanEck Solana ETN,2021-09-13,1239,3.3945205479452056,Long-only,Liechtenstein,USD,False,False,Accumulating,1.5,Physically backed,121,False,,21.17,-10.65,21.17,47.51,37.09,149.9,141.63,,91.23,993.88,-94.34,,,,87.43,98.84,,1.71,0.35,,-96.43,-42.74,-93.41,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
CH0496484640,A22FMC,21XA,49648464,21Shares Bitcoin Suisse Index ETP,2019-10-04,1949,5.33972602739726,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,37,False,,11.13,0.66,11.13,51.0,49.74,123.78,133.85,1049.39,104.86,125.44,-64.51,129.55,,,52.09,56.42,66.59,2.37,0.58,0.94,-74.56,-35.73,-64.92,-74.56,Cryptocurrencies,ETN,,"gettex, Stuttgart, SIX Swiss Exchange"
CH1135202179,A3GUMU,21HX,113520217,21Shares Crypto Basket 10 ETP,2021-09-28,1224,3.3534246575342466,Long-only,Switzerland,USD,False,False,Accumulating,0.49,Physically backed,27,False,,11.97,-0.2,11.97,59.3,56.14,130.67,125.55,,107.38,120.09,-66.32,,,,50.2,53.48,,2.59,0.58,,-75.75,-30.71,-65.89,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
LU1900067601,LYX02F,LTUR,45209807,Amundi MSCI Turkey UCITS ETF Acc,2006-08-11,6751,18.495890410958904,Long-only,Luxembourg,EUR,False,False,Accumulating,0.45,Swap based Unfunded,134,False,,1.65,0.81,1.65,14.32,-8.71,14.27,125.01,52.15,26.26,-8.0,104.42,-22.03,,,26.25,32.17,37.02,0.54,0.96,0.24,-75.44,-27.31,-27.31,-49.09,Equity,ETF,,"gettex, XETRA, London, Euronext Paris, Stuttgart, Borsa Italiana"
DE000A3GVKZ1,A3GVKZ,ESOL,,Bitwise Physical Solana ETP,2021-11-29,1162,3.1835616438356165,Long-only,Germany,USD,False,False,Accumulating,1.95,Physically backed,25,False,,20.15,-8.81,20.15,46.07,36.35,139.49,119.02,,93.73,884.04,-94.42,,,,83.75,99.24,,1.66,0.3,,-95.39,-39.58,-93.22,,Cryptocurrencies,ETN,,"gettex, XETRA, SIX Swiss Exchange"
IE00B1FZS574,A0LEW5,IQQ5,2778493,iShares MSCI Turkey UCITS ETF,2006-11-03,6667,18.265753424657536,Long-only,Ireland,USD,False,True,Distributing,0.74,Full replication,106,False,17,1.25,-0.31,1.25,13.62,-9.57,11.94,114.1,42.48,24.24,-9.43,101.35,-22.88,2.38,2.56,25.92,32.83,37.48,0.46,0.88,0.2,-75.53,-27.51,-27.51,-49.72,Equity,ETF,,"gettex, XETRA, London, Stuttgart, Borsa Italiana, Euronext Amsterdam"
LU2090063327,LYX045,LYSM,53842372,Amundi MSCI Semiconductors ESG Screened UCITS ETF Dist,2020-07-02,1677,4.594520547945206,Long-only,Luxembourg,EUR,False,True,Distributing,0.35,Full replication,50,True,64,-2.42,-9.55,-4.34,0.7,10.12,44.22,114,,66.04,71.81,-33.11,34.7,0.29,0.42,33.67,30.69,,1.31,0.94,,-39.18,-25.12,-34.11,,Equity,ETF,World,"gettex, SIX Swiss Exchange"
IE00BYQCZD50,A2AB8C,DXJA,30125344,WisdomTree Japan Equity UCITS ETF USD Hedged Acc,2017-03-09,2888,7.912328767123288,Long-only,Ireland,USD,True,False,Accumulating,0.48,Optimized sampling,64,True,495,0.0,2.3,0.0,10.02,6.87,24.35,112.93,159.91,39.12,35.65,13.18,27.89,,,27.83,21.09,21.03,0.87,1.36,1.0,-31.8,-27.63,-27.63,-31.59,Equity,ETF,,"London, SIX Swiss Exchange"
JE00BN7KB557,A3G8J3,OD7B,,WisdomTree Coffee,2006-09-27,6704,18.367123287671234,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,56,False,,17.5,8.73,17.5,61.21,76.77,119.56,112.8,301.44,97.06,18.73,-18.36,75.53,,,34.67,34.71,35.07,3.44,0.82,0.91,-84.93,-19.65,-42.93,-42.93,Commodities,ETC,,"XETRA, London, Borsa Italiana"
LU1900066033,LYX018,LSMC,45203121,Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc,2007-03-28,6522,17.86849315068493,Long-only,Luxembourg,EUR,False,True,Accumulating,0.35,Full replication,686,True,64,0.75,-4.77,0.75,9.28,10.04,52.25,112.52,235.03,66.05,71.83,-33.07,34.64,,,37.05,31.93,28.53,1.41,0.89,0.96,-54.48,-25.12,-34.06,-39.14,Equity,ETF,World,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana"
IE00BVXC4854,A14SCB,WTDX,28101727,WisdomTree Japan Equity UCITS ETF USD Hedged,2015-05-18,3549,9.723287671232876,Long-only,Ireland,USD,True,False,Distributing,0.48,Optimized sampling,74,True,495,0.08,2.39,0.08,10.13,6.82,24.25,112.43,159.39,38.88,35.53,13.08,27.98,1.77,2.18,33.76,23.82,22.72,0.72,1.2,0.92,-34.63,-27.7,-27.7,-31.55,Equity,ETF,,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana"
CH1109575535,A3GRTM,XLME,110957553,21Shares Stellar ETP,2021-04-26,1379,3.778082191780822,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,27,False,,25.12,-4.28,25.12,373.38,315.5,285.22,111.92,,166.37,70.45,-72.61,,,,132.88,94.91,,2.14,0.3,,-88.93,-46.9,-69.19,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
GB00BMTP1733,A3GUN9,WMEG,113602541,WisdomTree Physical Crypto Mega Cap Equal Weight,2021-11-24,1167,3.197260273972603,Long-only,Jersey,USD,False,False,Accumulating,0.4,Physically backed,13,False,,4.52,0.35,4.52,47.07,33.18,98.63,103.16,,93.02,117.05,-65.31,,,,52.92,55.16,,1.86,0.48,,-72.14,-34.82,-64.36,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
GB00BMTP1626,A3GUPA,WBLC,113603053,WisdomTree Physical Crypto Market,2021-11-18,1173,3.213698630136986,Long-only,Jersey,USD,False,False,Accumulating,0.7,Physically backed,13,False,,9.48,-0.11,9.48,62.33,49.12,110.11,102.38,,87.28,142.55,-70.3,,,,55.23,56.27,,1.99,0.47,,-76.23,-37.12,-68.24,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
IE00B8CJW150,A1T96S,SMLD,21426047,Invesco Morningstar US Energy Infrastructure MLP UCITS ETF Dist,2013-05-15,4282,11.73150684931507,Long-only,Ireland,USD,False,False,Distributing,0.5,Swap based Unfunded,289,False,,9.04,1.6,9.04,20.98,20.79,34.52,101.72,128.8,30.79,14.36,38.96,49.85,7.2,8.87,16.33,19.81,34.89,2.11,1.33,0.52,-79.31,-9.29,-18.84,-66.37,Equity,ETF,,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana"
IE00B94ZB998,A1T79J,SMLP,21426042,Invesco Morningstar US Energy Infrastructure MLP UCITS ETF Acc,2013-05-15,4282,11.73150684931507,Long-only,Ireland,USD,False,False,Accumulating,0.5,Swap based Unfunded,51,False,,8.99,1.55,8.99,20.94,20.79,34.44,101.61,127.22,30.78,14.47,38.8,49.63,,,16.33,19.81,34.99,2.1,1.33,0.51,-79.4,-9.3,-18.91,-66.54,Equity,ETF,,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana"
IE00BYQCZL35,A2AB8B,DXJD,30125341,WisdomTree Japan Equity UCITS ETF CHF Hedged Acc,2016-02-02,3289,9.01095890410959,Long-only,Ireland,CHF,True,False,Accumulating,0.45,Optimized sampling,10,True,495,-0.99,1.71,-1.59,3.18,3.05,14.39,95.37,141.19,24.59,43.2,8.22,22.76,,,25.43,20.56,20.48,0.56,1.22,0.94,-33.33,-23.13,-23.13,-29.22,Equity,ETF,,SIX Swiss Exchange
IE00BYQCZF74,A143NM,DXJP,30125106,WisdomTree Japan Equity UCITS ETF GBP Hedged,2015-11-02,3381,9.263013698630138,Long-only,Ireland,GBP,True,False,Distributing,0.45,Optimized sampling,19,True,495,-0.82,1.75,-0.82,6.32,3.34,21.12,92.51,135.81,36.51,42.48,-0.84,26.39,1.87,2.24,27.94,22.07,22.8,0.75,1.1,0.82,-45.99,-28.66,-28.66,-37.82,Equity,ETF,,"London, SIX Swiss Exchange"
IE00BVGC6751,A14MTY,N4US,26825641,Invesco JPX-Nikkei 400 USD Hedged UCITS ETF,2015-03-10,3618,9.912328767123288,Long-only,Ireland,USD,True,False,Accumulating,0.19,Swap based Unfunded,15,False,,0.46,2.24,0.46,8.68,6.06,21.93,91.15,123.0,33.65,30.2,5.39,21.19,,,26.15,19.92,20.18,0.84,1.21,0.86,-32.03,-26.04,-26.04,-29.95,Equity,ETF,,London
LU1681039217,A2H589,JPHU,38785062,Amundi JPX Nikkei 400 UCITS ETF Daily Hedged USD,2015-05-28,3539,9.695890410958905,Long-only,Luxembourg,USD,True,False,Accumulating,0.18,Swap based Unfunded,53,False,,0.53,2.26,0.53,8.84,5.83,21.43,89.72,118.84,33.13,30.52,4.67,21.07,,,26.08,19.94,19.83,0.82,1.19,0.85,-32.0,-25.71,-25.71,-29.84,Equity,ETF,,"London, Euronext Paris, SIX Swiss Exchange"
LU1169822779,A14MFF,JPUSD,26751722,UBS ETF (LU) MSCI Japan UCITS ETF (hedged to USD) A-acc,2020-06-25,1684,4.6136986301369864,Long-only,Luxembourg,USD,True,True,Accumulating,0.15,Full replication,160,False,191,0.37,1.79,-0.4,8.19,7.97,22.04,89.27,,33.51,30.17,3.84,22.66,,,26.67,20.0,,0.82,1.18,,-26.81,-26.81,-26.81,,Equity,ETF,,SIX Swiss Exchange
IE00BFMXZJ56,A2PV51,VJPU,51577277,Vanguard FTSE Japan UCITS ETF USD Hedged Acc,2020-01-31,1830,5.013698630136986,Long-only,Ireland,USD,True,True,Accumulating,0.2,Full replication,26,False,494,0.46,2.11,0.46,9.43,7.19,21.57,87.78,122.24,33.48,29.9,4.23,22.25,,,26.03,19.84,19.89,0.83,1.18,0.87,-29.98,-25.74,-25.74,-29.98,Equity,ETF,,London
LU1681037948,A2H58X,10A1,38785022,Amundi Japan Topix UCITS ETF Daily Hedged USD,2015-09-29,3415,9.356164383561644,Long-only,Luxembourg,USD,True,False,Accumulating,0.48,Swap based Unfunded,26,False,,0.45,2.24,0.45,9.54,6.93,20.89,87.32,113.48,32.51,29.78,4.65,20.97,,,25.84,19.81,19.74,0.81,1.17,0.83,-30.73,-25.33,-25.33,-30.08,Equity,ETF,,"gettex, London, Euronext Paris, SIX Swiss Exchange"
LU0927735406,DBX0NT,XMUJ,21557276,Xtrackers MSCI Japan UCITS ETF 2D USD hedged,2013-06-10,4256,11.66027397260274,Long-only,Luxembourg,USD,True,True,Distributing,0.4,Full replication,154,False,191,0.46,2.12,0.46,9.79,6.84,20.93,86.92,118.24,33.39,30.46,3.23,22.38,0.39,0.47,27.13,20.53,20.36,0.77,1.13,0.83,-32.55,-27.24,-27.24,-29.86,Equity,ETF,,"gettex, London, SIX Swiss Exchange"
IE00BCLWRG39,A1W2ES,IS30,22457084,iShares MSCI Japan USD Hedged UCITS ETF (Acc),2013-09-30,4144,11.353424657534246,Long-only,Ireland,USD,True,True,Accumulating,0.64,Optimized sampling,379,False,191,0.34,2.02,0.34,9.39,7.01,21.11,86.49,119.1,33.57,29.82,3.52,21.61,,,27.26,20.43,20.84,0.77,1.13,0.81,-32.58,-26.91,-26.91,-30.16,Equity,ETF,,"gettex, London, SIX Swiss Exchange"
IE00BYQCZJ13,A1403D,WTIF,30125329,WisdomTree Japan Equity UCITS ETF EUR Hedged Acc,2015-11-03,3380,9.26027397260274,Long-only,Ireland,EUR,True,False,Accumulating,0.45,Optimized sampling,26,True,495,0.32,1.13,0.32,5.06,1.87,17.37,86.17,124.68,28.65,37.72,3.48,17.62,,,26.42,20.7,20.68,0.66,1.11,0.85,-40.24,-26.64,-26.64,-30.56,Equity,ETF,,"gettex, XETRA, SIX Swiss Exchange, Borsa Italiana"
IE00BKPTXQ89,A2P4PH,JMLP,56293164,HANetf Alerian Midstream Energy Dividend UCITS ETF Dist,2020-07-27,1652,4.526027397260274,Long-only,Ireland,USD,False,True,Distributing,0.49,Full replication,76,False,,4.02,-2.33,4.02,14.12,22.15,42.93,85.2,,42.09,9.49,28.13,46.45,3.17,4.33,17.13,19.39,,2.5,1.17,,-18.22,-11.67,-18.22,,Equity,ETF,North America,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana"
IE00BTGD1B38,A12GMT,XDNU,28941550,Xtrackers MSCI Japan ESG Screened UCITS ETF 4C USD Hedged,2015-07-31,3475,9.520547945205479,Long-only,Ireland,USD,True,True,Accumulating,0.25,Full replication,4,True,178,0.56,2.16,0.56,9.9,6.72,20.5,84.98,114.11,32.67,29.95,3.05,20.84,,,27.03,20.45,20.27,0.76,1.11,0.81,-31.6,-27.09,-27.09,-30.26,Equity,ETF,,"gettex, London"
IE00B3VSSL01,A0YHMJ,SML3,10854875,Invesco US Technology Sector UCITS ETF,2009-12-16,5528,15.145205479452056,Long-only,Ireland,USD,False,False,Accumulating,0.14,Swap based Unfunded,1274,False,,-0.37,-1.83,-0.37,10.33,12.79,39.03,84.04,210.35,48.99,53.5,-23.97,45.12,,,24.61,26.2,28.82,1.58,0.86,0.88,-31.68,-16.97,-22.62,-31.68,Equity,ETF,,"gettex, London, SIX Swiss Exchange, Borsa Italiana"
CH0496454155,A22GRU,21XJ,49645415,21Shares Binance BNB ETP,2019-10-15,1938,5.30958904109589,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,647,False,,-0.89,1.09,-0.89,23.88,20.44,129.52,80.8,3481.89,124.34,22.96,-51.03,1371.0,,,55.42,56.48,83.27,2.33,0.39,1.25,-68.21,-36.85,-55.21,-68.21,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
LU1829219390,LYX0Z5,LYBK,44025738,Amundi Euro Stoxx Banks UCITS ETF Acc,2013-12-12,4071,11.153424657534247,Long-only,Luxembourg,EUR,False,True,Accumulating,0.3,Full replication,892,False,28,10.94,1.19,10.94,12.75,14.08,41.95,80.75,120.53,31.24,30.85,0.54,41.01,,,18.38,25.25,31.58,2.27,0.86,0.54,-64.01,-12.5,-34.31,-51.54,Equity,ETF,Europe,"gettex, XETRA, London, Euronext Paris, Stuttgart, Borsa Italiana"
DE000A2QP372,A2QP37,EXI4,115209512,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Acc),2021-12-03,1158,3.1726027397260275,Long-only,Germany,EUR,False,False,Accumulating,0.52,Full replication,67,False,28,11.83,3.94,12.21,12.71,14.12,45.22,80.54,,30.42,30.11,0.38,,,,17.98,24.63,,2.51,0.88,,-34.1,-12.5,-34.1,,Equity,ETF,Europe,"gettex, Euronext Amsterdam"
IE00BLCHJ534,A2QPB5,94VE,113640284,Global X U.S. Infrastructure Development UCITS ETF USD Accumulating,2021-11-02,1189,3.2575342465753425,Long-only,Ireland,USD,False,False,Accumulating,0.47,Full replication,501,False,100,5.9,-1.32,5.9,9.35,12.04,30.68,80.09,,25.37,26.42,-0.65,,,,20.97,22.17,,1.46,0.98,,-18.52,-13.09,-18.52,,Equity,ETF,,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana"
DE0006289309,628930,EXX1,1232727,iShares EURO STOXX Banks 30-15 UCITS ETF (DE),2001-04-25,8685,23.794520547945204,Long-only,Germany,EUR,False,False,Distributing,0.52,Full replication,885,False,28,11.27,1.17,11.27,12.37,13.58,41.61,78.15,114.72,30.37,29.55,0.2,40.35,5.32,7.3,17.84,24.57,31.21,2.33,0.86,0.53,-84.31,-12.52,-34.16,-51.81,Equity,ETF,Europe,"gettex, XETRA, Stuttgart, SIX Swiss Exchange"
IE00B7KMNP07,A1JVYP,UBUD,18168423,UBS ETF (IE) Solactive Global Pure Gold Miners UCITS ETF (USD) A-dis,2012-11-15,4463,12.227397260273973,Long-only,Ireland,USD,False,True,Distributing,0.43,Full replication,194,False,21,18.21,3.68,18.21,9.54,28.41,70.16,77.59,72.67,34.85,6.28,-3.03,-5.69,0.28,0.46,26.52,29.47,32.7,2.64,0.72,0.35,-62.22,-14.63,-38.96,-46.92,Equity,ETF,World,"gettex, XETRA, Stuttgart, SIX Swiss Exchange"
IE00B3WJKG14,A142N1,QDVE,30453015,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),2015-11-20,3363,9.213698630136987,Long-only,Ireland,USD,False,True,Accumulating,0.15,Full replication,10465,False,70,-0.55,-1.4,-0.55,10.45,12.73,36.82,77.54,199.63,45.92,52.08,-23.98,44.56,,,23.96,25.89,28.61,1.53,0.81,0.86,-31.62,-16.95,-23.42,-31.62,Equity,ETF,,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange"
IE00BLCHJ641,A2QR35,PAVU,114667292,Global X U.S. Infrastructure Development UCITS ETF USD Distributing,2021-11-02,1189,3.2575342465753425,Long-only,Ireland,USD,False,False,Distributing,0.47,Full replication,21,False,100,5.31,-1.52,5.31,8.76,11.41,29.97,76.88,,25.37,26.38,-1.47,,0.19,0.24,20.75,22.16,,1.44,0.94,,-18.52,-11.23,-18.52,,Equity,ETF,,London
IE00B3Q19T94,A1JFG7,S7XE,12847971,Invesco EURO STOXX Optimised Banks UCITS ETF,2011-04-11,5047,13.827397260273973,Long-only,Ireland,EUR,False,False,Accumulating,0.3,Swap based Unfunded,110,False,,10.73,1.04,10.73,11.93,13.22,41.6,76.84,113.83,31.21,29.21,0.32,40.12,,,17.9,25.04,31.47,2.32,0.83,0.52,-65.39,-12.75,-35.46,-52.08,Equity,ETF,Europe,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange"
DE000A0F5UJ7,A0F5UJ,EXV1,12980110,iShares STOXX Europe 600 Banks UCITS ETF (DE),2001-04-25,8685,23.794520547945204,Long-only,Germany,EUR,False,False,Distributing,0.47,Full replication,1427,False,49,10.28,1.56,10.28,14.68,15.11,44.96,75.79,108.15,32.86,26.91,1.18,38.22,5.45,7.59,15.94,21.56,27.71,2.81,0.96,0.57,-81.69,-11.02,-27.66,-46.8,Equity,ETF,Europe,"gettex, XETRA, Stuttgart, SIX Swiss Exchange"
LU1169821888,A14ME9,JPNCHF,26751433,UBS ETF (LU) MSCI Japan UCITS ETF (hedged to CHF) A-acc,2020-06-17,1692,4.635616438356164,Long-only,Luxembourg,CHF,True,True,Accumulating,0.15,Full replication,229,False,191,0.67,1.7,-0.76,3.18,3.75,12.51,75.34,,19.65,36.73,-0.77,17.72,,,23.22,19.35,,0.54,1.06,,-21.48,-21.48,-21.48,,Equity,ETF,,SIX Swiss Exchange
LU1681047665,A2H59B,JPHC,38785075,Amundi ETF JPX Nikkei 400 UCITS ETF Daily Hedged CHF,2016-01-29,3293,9.021917808219179,Long-only,Luxembourg,CHF,True,False,Accumulating,0.18,Swap based Unfunded,5,False,,-0.83,1.66,-1.31,2.2,2.13,11.34,75.33,103.57,19.66,37.47,0.7,15.32,,,23.34,19.05,19.01,0.48,1.08,0.8,-27.68,-21.27,-21.27,-27.57,Equity,ETF,,"Euronext Paris, SIX Swiss Exchange"
LU1834983477,LYX01W,LBNK,42764087,Amundi STOXX Europe 600 Banks UCITS ETF Acc,2006-08-25,6737,18.457534246575342,Long-only,Luxembourg,EUR,False,False,Accumulating,0.3,Swap based Unfunded,1063,False,,9.51,1.55,9.51,14.65,15.14,44.72,74.89,107.03,33.54,26.82,1.26,38.72,,,16.43,21.69,27.66,2.71,0.94,0.57,-81.82,-11.0,-27.7,-46.79,Equity,ETF,Europe,"gettex, XETRA, London, Euronext Paris, SIX Swiss Exchange, Borsa Italiana"
